"Table 6.17B. Corporate Profits Before Tax by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: July 30, 2019"
"Line","","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987"
"56","        Security and commodity brokers",6,18,24,9,20,30,63,36,27,34,46,92,88,150,56,94,121,188,252,424,665,103,-150,329,246,206,128,521,83,-19,463,226,992,87,-264,652,-905,245,390,1246
"57","        Insurance carriers",702,1102,777,742,995,1242,1401,1244,856,707,1168,1547,1570,1660,1666,1279,1215,1315,2211,2289,2250,2036,3106,4704,5668,5126,3299,2647,5791,10370,12675,12427,11263,10555,7842,3065,-67,-3766,-1195,308
"58","        Insurance agents, brokers, and service",69,59,63,66,74,75,78,73,99,99,107,136,144,121,149,171,214,213,269,246,319,294,431,495,468,534,524,595,722,1308,1392,1388,1317,1237,1071,802,892,1401,2029,3069
"59","        Real estate",644,663,749,706,675,745,826,821,706,687,791,823,780,708,751,778,830,934,1023,1042,1329,1149,799,1033,822,628,84,226,964,2102,2379,2242,718,-678,-1863,-280,-1399,-2382,-2446,-1313
"60","        Holding and other investment offices",-5,-17,17,50,59,49,36,35,97,134,72,102,130,128,332,106,218,63,38,-30,-192,-346,-344,-463,-482,-579,-456,-883,-974,-935,17,55,271,2098,1478,1389,1841,5037,6183,-770
"61","    Services",711,682,620,586,601,613,607,758,772,869,805,1059,932,1153,1051,1383,1537,2046,2459,2845,3219,2703,2206,2649,3613,4661,4557,4963,7577,9933,11566,13322,13420,15697,14711,14486,13942,13831,13449,13858
"62","        Hotels and other lodging places",124,107,102,103,106,87,84,74,85,79,43,52,16,-4,-15,-19,-21,46,100,195,246,242,121,54,180,116,-54,39,214,400,808,1010,849,684,413,472,63,-140,-577,-668
"63","        Personal services",73,73,67,73,72,75,76,85,105,115,119,131,133,124,120,159,207,247,259,280,321,286,250,255,301,331,424,416,470,502,586,652,651,728,778,711,804,645,600,849
"64","        Business services",139,140,166,196,193,207,202,248,301,369,356,405,420,428,426,503,544,668,838,861,772,675,577,735,950,1372,968,1344,1720,2755,2957,3149,2890,3391,3575,2991,4129,3816,4196,4378
"65","        Auto repair, services, and parking",23,17,25,29,32,32,23,32,33,17,37,69,57,66,81,81,98,114,120,114,161,178,116,142,173,237,217,234,389,481,429,356,315,367,272,340,149,-149,124,-84
"66","        Miscellaneous repair services",13,10,8,11,7,3,-11,2,13,9,-8,-1,15,22,26,22,46,52,60,48,54,73,64,56,81,85,154,148,168,213,267,239,292,364,224,233,372,313,413,482
"67","        Motion pictures",198,224,154,34,29,57,97,156,22,40,37,110,22,240,119,258,297,487,479,521,839,354,103,116,231,106,139,184,892,795,810,1276,710,767,602,109,-628,-745,-448,-998
"68","        Amusement and recreation services",65,45,25,40,54,45,35,35,44,57,57,97,74,77,67,72,98,91,152,154,185,219,217,260,194,299,367,396,518,668,736,785,762,764,425,103,-583,-112,416,145
"69","        Other services",76,66,73,100,107,107,100,125,168,182,165,195,195,200,227,307,267,341,451,671,641,675,758,1032,1503,2115,2341,2201,3207,4119,4973,5856,6951,8632,8421,9527,9637,10202,8724,9754
"70","            Health services","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",62,80,81,81,175,214,213,374,553,778,1146,1431,1453,1936,2360,2917,3498,4350,5414,5469,6156,6020,6296,5194,5595
"71","            Legal services","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",19,28,18,35,25,26,7,-34,62,70,113,128,145,193,237,308,445,460,634,942,1109,1102,1123,1358,1570
"72","            Educational services","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",18,3,13,1,5,19,31,86,80,111,224,236,231,313,335,458,400,535,483,489,438,485,358,63,212
"73","            Other1","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",208,156,229,333,466,381,426,331,337,544,632,546,372,765,1187,1290,1513,1605,2101,1522,1824,2029,2425,2108,2377
"74","Rest of the world2",1261,1125,1269,1744,1888,1798,1962,2354,2821,3092,2523,2718,3137,3316,3772,4081,4469,4706,4528,4775,5636,6595,7100,7855,9534,14898,17469,14631,16548,19113,22869,34611,35471,29679,32587,35056,36569,38098,39474,48009
"75","    Receipts from the rest of the world",1652,1554,1767,2249,2345,2288,2442,2890,3356,3630,3078,3382,3790,4045,4494,4885,5379,5782,5656,5990,6996,8047,8656,9781,11751,17575,20398,17906,20938,23790,29001,42560,43845,38078,36670,41103,46104,46799,48717,58922
"76","    Less: Payments to the rest of the world",391,429,498,505,457,490,480,536,535,538,555,664,653,729,722,804,910,1076,1128,1215,1360,1452,1556,1926,2217,2677,2929,3275,4390,4677,6132,7949,8374,8399,4083,6047,9535,8701,9243,10913
"Legend / Footnotes:"
"1. Consists of social services, membership organizations, and miscellaneous professional services."
"2. Consists of receipts by all U.S. residents, including both corporations and persons, of dividends from foreign corporations, and, for U.S. corporations, their share of reinvested earnings of their incorporated foreign affiliates, and earnings of unincorporated foreign affiliates (line 75), net of corresponding payments (line 76)."
"Note. Estimates in this table are based on the 1972 Standard Industrial Classification (SIC)."
